https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1636650000000,2021-11-11 17:00:00,USDC/USDT,0.99940000,0.99950000,0.99940000,0.99940000,3241603.00000000,3239845.86670000,1612
1636646400000,2021-11-11 16:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99950000,5810936.00000000,5807757.31770000,1895
1636642800000,2021-11-11 15:00:00,USDC/USDT,0.99930000,0.99950000,0.99920000,0.99950000,14401360.00000000,14391857.48200000,4669
1636639200000,2021-11-11 14:00:00,USDC/USDT,0.99940000,0.99950000,0.99930000,0.99940000,13732360.00000000,13723961.95240000,3097
1636635600000,2021-11-11 13:00:00,USDC/USDT,0.99950000,0.99960000,0.99940000,0.99940000,11369320.00000000,11363319.45700000,4020
1636632000000,2021-11-11 12:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,6525351.00000000,6522365.52640000,2301
1636628400000,2021-11-11 11:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,5833534.00000000,5830771.47640000,2188
1636624800000,2021-11-11 10:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,5396558.00000000,5394086.61550000,1773
1636621200000,2021-11-11 09:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,4238172.00000000,4236321.87800000,1586
1636617600000,2021-11-11 08:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,6882062.00000000,6878841.80560000,2046
1636614000000,2021-11-11 07:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,6607180.00000000,6604108.30120000,2035
1636610400000,2021-11-11 06:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,4762605.00000000,4760412.47260000,1668
1636606800000,2021-11-11 05:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99950000,4915502.00000000,4913265.57310000,1397
1636603200000,2021-11-11 04:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,3636256.00000000,3634579.11510000,1160
1636599600000,2021-11-11 03:00:00,USDC/USDT,0.99950000,0.99960000,0.99950000,0.99950000,3046397.00000000,3045051.32170000,1555
1636596000000,2021-11-11 02:00:00,USDC/USDT,0.99960000,0.99960000,0.99950000,0.99960000,6529130.00000000,6526336.05900000,2207
1636592400000,2021-11-11 01:00:00,USDC/USDT,0.99970000,0.99980000,0.99950000,0.99950000,14687438.00000000,14682842.83980000,2521
1636588800000,2021-11-11 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99960000,0.99970000,7802838.00000000,7800541.74910000,2925
1636585200000,2021-11-10 23:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99970000,7776144.00000000,7774116.65510000,3373
1636581600000,2021-11-10 22:00:00,USDC/USDT,0.99950000,1.00000000,0.99940000,0.99970000,13125097.00000000,13120997.98940000,5056
1636578000000,2021-11-10 21:00:00,USDC/USDT,0.99990000,1.00000000,0.99940000,0.99950000,20927493.00000000,20922244.91830000,6998
1636574400000,2021-11-10 20:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,9836557.00000000,9836214.39460000,4476
1636570800000,2021-11-10 19:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,8336460.00000000,8336180.00140000,3296
1636567200000,2021-11-10 18:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,8418268.00000000,8417864.53410000,2903
1636563600000,2021-11-10 17:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,8133528.00000000,8132924.97490000,2732
1636560000000,2021-11-10 16:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,5498080.00000000,5497741.45430000,2710
